label,samples,errors,error_rate_percent,avg_ms,p95_ms,p99_ms,min_ms,q1_ms,median_ms,q3_ms,max_ms,outliers
200 threads,800,0,0.00,1007.58,1011.05,1029.01,1003,1005.00,1006.00,1008.00,1124,33
2000 threads,8000,0,0.00,2953.84,4508.05,4680.00,1003,2058.75,3038.50,3884.25,4793,0
